Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Linear Probing,0.1,0,0.29792,0.27744,0.45115,0.13073,10009.0
Linear Probing,0.1,1,0.12811,0.08608,0.91075,0.07839,10009.0
Linear Probing,0.1,2,0.06341,0.0555,0.3975,0.05989,10009.0
Linear Probing,0.1,3,0.05685,0.11408,0.37065,0.04753,10009.0
Linear Probing,0.1,4,0.06009,0.05354,0.07992,0.046,10009.0
Linear Probing,0.3,0,0.4648,0.40311,5.01421,0.12049,10009.0
Linear Probing,0.3,1,0.0594,0.06511,0.39043,0.05743,10009.0
Linear Probing,0.3,2,0.05524,0.06208,0.38902,0.05827,10009.0
Linear Probing,0.3,3,0.05345,0.05967,0.39344,0.05748,10009.0
Linear Probing,0.3,4,0.0579,0.06621,0.07962,0.04812,10009.0
Linear Probing,0.5,0,0.312,0.12318,0.67469,0.11137,10009.0
Linear Probing,0.5,1,0.06713,0.06762,0.38938,0.05763,10009.0
Linear Probing,0.5,2,0.06272,0.06845,0.39064,0.05813,10009.0
Linear Probing,0.5,3,0.06113,0.06702,24.60191,0.14118,10009.0
Linear Probing,0.5,4,0.06943,0.07475,0.08308,0.04974,10009.0
Linear Probing,0.7,0,0.12041,0.1588,0.70367,0.11986,10009.0
Linear Probing,0.7,1,0.06224,0.09887,0.39864,0.05979,10009.0
Linear Probing,0.7,2,0.05948,0.08679,0.39418,0.05649,10009.0
Linear Probing,0.7,3,0.06864,0.08992,0.10411,0.0496,10009.0
Linear Probing,0.7,4,0.06007,0.09046,0.08781,0.05101,10009.0
Linear Probing,0.9,0,0.22676,0.42718,0.71578,0.35553,10009.0
Linear Probing,0.9,1,0.08109,0.22281,0.4546,0.06407,10009.0
Linear Probing,0.9,2,0.07821,0.2173,0.46573,0.06061,10009.0
Linear Probing,0.9,3,0.08447,0.22811,0.11495,0.05537,10009.0
Linear Probing,0.9,4,0.07885,0.21048,0.11494,0.0538,10009.0
Quadratic Probing,0.1,0,0.52604,0.32725,0.40894,0.1149,10009.0
Quadratic Probing,0.1,1,0.14768,0.12376,0.11455,0.07675,10009.0
Quadratic Probing,0.1,2,0.08532,0.27234,0.13414,0.06325,10009.0
Quadratic Probing,0.1,3,0.06911,0.07573,0.10367,0.06676,10009.0
Quadratic Probing,0.1,4,0.1167,0.10954,0.15175,0.05899,10009.0
Quadratic Probing,0.3,0,12.93249,0.28951,0.50882,0.10117,10009.0
Quadratic Probing,0.3,1,0.12803,0.1155,0.10533,0.06691,10009.0
Quadratic Probing,0.3,2,0.0802,0.07705,0.09562,0.06628,10009.0
Quadratic Probing,0.3,3,0.18696,0.14448,0.11274,0.06886,10009.0
Quadratic Probing,0.3,4,0.11837,0.08704,0.12227,0.06657,10009.0
Quadratic Probing,0.5,0,0.14999,0.29288,0.4138,0.09548,10009.0
Quadratic Probing,0.5,1,0.15169,0.08875,0.11239,0.07927,10009.0
Quadratic Probing,0.5,2,0.08782,0.09168,0.10236,0.07035,10009.0
Quadratic Probing,0.5,3,0.12049,0.11465,0.11223,0.06054,10009.0
Quadratic Probing,0.5,4,0.08535,0.0939,0.1087,0.06929,10009.0
Quadratic Probing,0.7,0,0.22068,0.2358,0.1844,0.30002,10009.0
Quadratic Probing,0.7,1,0.10486,0.10959,0.11881,0.07837,10009.0
Quadratic Probing,0.7,2,0.1004,0.10879,0.11012,0.07395,10009.0
Quadratic Probing,0.7,3,0.11536,0.12318,0.12087,0.0761,10009.0
Quadratic Probing,0.7,4,0.09276,0.10625,0.10959,0.07506,10009.0
Quadratic Probing,0.9,0,0.15356,0.31923,0.13378,0.08843,10009.0
Quadratic Probing,0.9,1,0.1006,0.1441,0.12539,0.08434,10009.0
Quadratic Probing,0.9,2,0.10957,0.14982,0.13628,0.09057,10009.0
Quadratic Probing,0.9,3,0.11704,0.12817,0.1064,0.06874,10009.0
Quadratic Probing,0.9,4,0.09429,0.13795,0.11293,0.07408,10009.0
LinkedList,0.1,0,0.4076,0.14015,1.43294,0.99366,10009.0
LinkedList,0.1,1,0.12812,0.03631,0.20606,0.07174,10009.0
LinkedList,0.1,2,0.10591,0.0421,0.20993,0.11573,10009.0
LinkedList,0.1,3,0.113,0.05237,0.18825,0.11666,10009.0
LinkedList,0.1,4,0.11139,0.04507,0.21811,0.11052,10009.0
LinkedList,0.3,0,0.29501,0.09608,0.78983,0.23456,10009.0
LinkedList,0.3,1,0.06622,0.03416,0.42924,0.11509,10009.0
LinkedList,0.3,2,0.13112,0.07286,0.23221,0.13615,10009.0
LinkedList,0.3,3,0.10894,0.05027,0.20319,0.11645,10009.0
LinkedList,0.3,4,0.10805,0.05406,0.19745,0.12122,10009.0
LinkedList,0.5,0,0.37047,0.10648,1.02154,0.20319,10009.0
LinkedList,0.5,1,0.13177,0.14022,0.20466,0.14314,10009.0
LinkedList,0.5,2,0.15734,0.08445,0.20096,0.13319,10009.0
LinkedList,0.5,3,0.15724,0.08898,0.19988,0.13777,10009.0
LinkedList,0.5,4,0.12861,0.07456,0.17903,0.12647,10009.0
LinkedList,0.7,0,0.19341,0.04485,0.493,0.07118,10009.0
LinkedList,0.7,1,0.15942,0.10199,0.2072,0.15898,10009.0
LinkedList,0.7,2,0.1489,0.09079,0.22619,0.15509,10009.0
LinkedList,0.7,3,0.18262,0.09862,0.22316,0.15741,10009.0
LinkedList,0.7,4,0.157,0.10886,0.23762,0.15967,10009.0
LinkedList,0.9,0,0.43172,0.23873,0.38736,0.35363,10009.0
LinkedList,0.9,1,0.22922,0.14866,0.2262,0.17987,10009.0
LinkedList,0.9,2,0.24406,0.1437,0.24782,0.18034,10009.0
LinkedList,0.9,3,0.24714,0.141,0.25707,0.17834,10009.0
